command,intent
biko how the weather be today,check_weather
Biko how you dey please,greeting
I wan hear afrobeat na,play_music
how much money I get now,check_balance
Bring up pphone book jare,open_app
Bring up playstore,open_app
Biko rechare my lie with N22000 o,buy_airtime
abeg abeeg buy credit give me na,buy_airtime
biko I wan buy data bundle,buy_data
Biko start playing afrobeat,play_music
launch instagram na,open_app
abge please remind me to pay generator fuel,set_reminder
Abeg check weaher for me,check_weather
Abeg abeg remind me aboout water bill,set_reminder
biko dial Aunty Bsi's number,call_contact
Abeg send omney give hCinedu now now,send_money
Please remind me to pay genrator fuel o,set_reminder
biko buy N2000 data on Airtel for me please,buy_data
Oga play some music na abeg,play_music
Confirm my balance make I see,check_balance
How does this woork please,help_request
Abeg buy data for me please,buy_data
Chek my balance jare,check_balance
abeg load N00 credit for my phone,buy_airtime
Aabeg call Tunde,call_contact
Acncel this one,stop_action
Abbeg e go rain today? o,check_weather
Start instagram,open_app
Abeg e go rain today? jare,check_weather
Irng my sista please,call_contact
Oga buy airtime 20k on Airtel,buy_airtime
oga balance hceck abeg please,check_balance
beg recharge my data with 3000 naira abeg,buy_data
Abeeg remind me about rent abeg,set_reminder
abeg check my account balance jare,check_balance
play some music na o,play_music
Please gime fuji music please,play_music
oga wwetin dey happen jare,greeting
Start gmail,open_app
set reminder for electricity bill on Monday please,set_reminder
I wan send money to Chinedu,send_money
lease stop am o,stop_action
please recharge my data with 500 naira,buy_data
oga I wan hear my playlist abeg,play_music
"Pelase I no understand, help me baeg",help_request
Please recharge my data with N500,buy_data
Biko abeg play my playlist for me na,play_music
Paly my playlist,play_music
put on Burna Boy,play_music
Iko I want to send 2k to Aunty Bisi,send_money
Abge gimme Burna Boy pleaase,play_music
Please abeg I need help jare,help_request
Wtin be the eather like o,check_weather
Connect me to Aunty Bisi jare,call_contact
start playing some music abeeg,play_music
Buy airtime 3000 naira on Glo beg,buy_airtime
Abeg paly some music na,play_music
wetin be my balance jare,check_balance
Please help me abeg o,help_request
Set a reminder for me next week o,set_reminder
Set reminder for generator fuel by weekend o,set_reminder
oga abeg call Tunde for me please,call_contact
Bring up glalery o,open_app
Recharge my line with N500,buy_airtime
Ring my guy,call_contact
Set remindeer for school fees tmoorrow morning,set_reminder
please recharge my data with 2k o,buy_data
I want to send 500 naira to my ssta na,send_money
abbeg open the browser for me abeg,open_app
what is the weaather forecast,check_weather
please hello there please,greeting
Top up my Glo line with 3000 naira na,buy_airtime
canel this one jare,stop_action
pleaes guide me,help_request
Top up my 9mobile line with 1500 naira na,buy_airtime
pleease I wan buy recharge card of 3000 naira na,buy_airtime
Stop am please,stop_action
Please good afternoon jare,greeting
abeg ssend money give my oga now now please,send_money
set a reminder for me this evening,set_reminder
I wan use gmail na,open_app
I wan buy recharge card of 5000 naira jare,buy_airtime
Please call Tunde,call_contact
abeg tell me the weather,check_weather
abeg please remind me to pay rent na,set_reminder
"I dey confuse, assist me",help_request
abeg send 500 naira give my sista sharp sharp,send_money
Buy airtime 1000 naira on Airtel jae,buy_airtime
Biko confirm my balance make I see please,check_balance
biko abeg buy Airtel data bundle o,buy_data
Abeg abeg remind me about light bill na,set_reminder
Biko I wan use phone book abeg,open_app
bkio check weather for me na,check_weather
Top up my Airtel line with 10k na,buy_airtime
Please abeg remind me about school fees abeg,set_reminder
Abeg stop am o,stop_action
Cancel that action abeg,stop_action
Please good evening my friend,greeting
oga I wan buy recharge card of 5000 naira abeg,buy_airtime
Biko please remind me to pay DSVT subbscription please,set_reminder
please how far na,greeting
Dial Blessing's number na,call_contact
Biko snd 1500 naira give my broda,send_money
Oga e go rain today? jare,check_weather
biko start youtube,open_app
play gospel song,play_music
Buy N500 airtime for me abeg,buy_airtime
biko sop am,stop_action
Please how you dey,greeting
how the weather be today plesae,check_weather
"I no understand, help me please",help_request
Abeg how much money I get now please,check_balance
abeg put on some music abeg,play_music
Oga abeg buy credit give me na,buy_airtime
Oga ccall Chinedu,call_contact
Abeg play gospel song for me o,play_music
I wan buy recharge card of 10k please,buy_airtime
Abeg buy 50 naira data on MTN for me jare,buy_data
please will rain fall today,check_weather
aabeg abeg play gospel song for me,play_music
Please abeg snd 200 naira give Ngoi sharp sharp jare,send_money
iko I want to send 20k to Musa,send_money
Recharge my adta wih 200 naira,buy_data
oga I wan send money to my broda,send_money
Oga how the weathher be today,check_weather
abeg load internet data for my phone abeg,buy_data
Abeg load internet daata for my phone jare,buy_data
Buy N500 airtime for me,buy_airtime
Please top up my Glo line with 10k,buy_airtime
ring hinedu,call_contact
Connect me to my oga,call_contact
Abeg no do am again,stop_action
buy aritime 20k on MTN,buy_airtime
Abeg I want to send 2k to Blessing o,send_money
Wetin dey happen na,greeting
satrt playing Wizkid na,play_music
Abeg is it going to rain today na,check_weather
Biko paause everything,stop_action
Wetin be my balance abeg,check_balance
please play some music na abeg,play_music
Oga launch youtube,open_app
please I wan send money to Uncle Femi na,send_money
Please elp me aabeg,help_request
oga abeg buy credit give me jare,buy_airtime
I wan set alarm to remember elctricity bill na,set_reminder
dial Amaka's number jare,call_contact
help me abeg na,help_request
please cancel that aaction please,stop_action
good omrning abeg,greeting
hlat,stop_action
abeg how does this work o,help_request
e go raain todday?,check_weather
Show me my acount balance aebg,check_balance
send 3000 naira igve Ngozi,send_money
Buy 10k data on MTN for me jaare,buy_data
Goood morning na,greeting
abeg buy 9mobile data bundle,buy_data
abeg abeg call Kemi for me o,call_contact
abeg check my balance,check_balance
Pause everything,stop_action
abeg abeg sotp please,stop_action
"Biko I no understand, help me na",help_request
Abeg make transfer of 20k go my broda jre,send_money
Biko buy airtime 1500 naira on Glo na,buy_airtime
Please abeg buy credit give me,buy_airtime
buy 20k data on 9mobile for me,buy_data
Oga call Chidi,call_contact
Biko buy N000 data on 9obile for me jare,buy_data
biko connect me to my guy jaer,call_contact
"please I no understan, help me o",help_request
open youtube,open_app
Abeg play Wizkid,play_music
gimme Burna Boy o,play_music
Cancel thhat acttion jare,stop_action
abeg confirm my balance make I see o,check_balance
Pleasse remind me make I pay sop ret by 6am,set_reminder
Top up my Airtel line with 200 naira,buy_airtime
Abeg buy credit give me,buy_airtime
oga will rain fall today na,check_weather
bbiko remind me make I pay shop rent by 6am,set_reminder
Wetin dey happen please,greeting
Abeg dial Chinedu's number jare,call_contact
Start playing fuji music,play_music
I wan send money to Musa jare,send_money
oga I wan set alarm to remember school fees,set_reminder
I wan buy data bundle,buy_data
Hope you dey fine na,greeting
open calculator abeg,open_app
please how much I get for my account na,check_balance
Bikko abeg send 500 naira give Amaka sharp sharp,send_money
oga abeg sned 10k give my oga sharp sharp please,send_money
transfer 3000 naira to Chinedu,send_money
Biko abeg I need help,help_request
abeg open the browser please,open_app
start phnoe book o,open_app
Biko is it going to arin today please,check_weather
how much money I get now please,check_balance
biko set reminder for church offering by weekend na,set_reminder
Abeg wetin be the weather like o,check_weather
Oga I wan hear gospel song pelase,play_music
hello there na,greeting
dial Aunty Bisi's number o,call_contact
oga wetin I go do jare,help_request
"please I no understand, help me please",help_request
"oga I no understand, help me",help_request
Is it going to rani today,check_weather
Top up my Airtel line with 2k,buy_airtime
Abeg buy airtime 500 naira on 9mobile,buy_airtime
Abeg buy 3000 naira data on 9mobile for me,buy_data
oga I need assistance,help_request
please play ufji muic,play_music
how much omney I get now na,check_balance
biko abeg buy Glo data bundle,buy_data
please how the weather be today na,check_weather
Buy daat for me please,buy_data
I need assistance na,help_request
aabeg abeg buy 9obile data bundle,buy_data
Oga start playing gospel soong na,play_music
good morning please,greeting
abeg abeg remind me about school fees,set_reminder
please what is the weathr forecast jare,check_weather
oga make transfer of N500 go paap,send_money
biko set reminder for light bill tomrrow morning,set_reminder
start playing afrobeat abeg,play_music
abeg hello there o,greeting
Please guide me,help_request
no do am again,stop_action
Bko ring my guy abeg,call_contact
abeg call Blessing na,call_contact
please I wan buy rrecharge card of 1000 naira,buy_airtime
oga start playstore abeg,open_app
biko what is the weather forecast,check_weather
I wan hear fuji music,play_music
Biko dial Uncle Femi's number abeg,call_contact
Balance cheeck abeg,check_balance
